iteration,frame,eval_episode_return,train_episode_return,train_exploration_epsilon,train_frame_rate
0,0,0.0,0.0,1.0,590.4822542155905
1,50000,0.0,0.0,0.9775004500000001,167.92412197491464
2,100000,0.0,0.0,0.95500045,172.36879896078005
3,150000,0.0,0.0,0.93250045,171.1623461979082
4,200000,0.0,0.0,0.91000045,167.84810381871836
5,250000,0.0,0.0,0.88750045,167.8955152853053
6,300000,0.0,0.0,0.8650004499999999,166.74323677567915
7,350000,0.0,0.0,0.8425004500000001,164.83575897736011
8,400000,0.0,0.0,0.82000045,165.46098574779552
9,450000,0.0,0.0,0.79750045,163.83907506222164
10,500000,0.0,0.0,0.77500045,162.9935562341379
11,550000,0.0,0.0,0.75250045,163.07184932270903
12,600000,0.0,0.0,0.73000045,163.54440099414907
13,650000,0.0,0.0,0.70750045,162.73803078067164
14,700000,0.0,0.0,0.68500045,162.54310471014378
15,750000,0.0,0.0,0.66250045,160.59824368454363
16,800000,0.0,0.0,0.6400004499999999,159.9664834991143
17,850000,0.0,0.0,0.61750045,159.1476249872506
18,900000,0.0,0.0,0.59500045,159.4624643918433
19,950000,0.0,0.0,0.5725004499999999,159.46049896895326
20,1000000,0.0,0.0,0.5500004500000001,159.04207392993686
21,1050000,0.0,0.0,0.52750045,160.3608588198721
22,1100000,0.0,0.041666666666666664,0.50500045,159.7272134229898
23,1150000,0.0,0.041666666666666664,0.48250045,159.4467740140994
24,1200000,0.0,0.08333333333333333,0.46000045,159.54814630229137
25,1250000,0.0,0.0,0.43750045,157.87654497157348
26,1300000,0.0,0.0,0.4150004500000001,158.25025677409974
27,1350000,0.0,0.0,0.39250045,158.97325044645734
28,1400000,0.0,0.0,0.37000045000000004,158.48952723061095
29,1450000,0.0,0.0,0.34750044999999996,158.31316465946426
30,1500000,0.0,0.0,0.32500045,158.79534522506722
31,1550000,0.0,0.08333333333333333,0.30250045000000003,159.55724995216806
32,1600000,0.0,0.125,0.28000045,158.0916761497503
33,1650000,0.0,0.08333333333333333,0.25750045,158.1723395404939
34,1700000,0.0,0.0,0.23500044999999997,157.09433858135012
35,1750000,0.0,0.041666666666666664,0.21250044999999995,157.7294082688922
36,1800000,0.0,0.16666666666666666,0.19000045000000004,158.63373599068524
37,1850000,0.0,0.0,0.16750045000000002,159.1642389256252
38,1900000,0.0,0.0,0.14500045,158.67841388647332
39,1950000,0.0,0.0,0.12250044999999998,159.94680866850197
40,2000000,0.0,0.043478260869565216,0.10000044999999996,159.5905867062551
41,2050000,0.0,0.0,0.1,159.65403744196223
42,2100000,0.0,0.08333333333333333,0.1,159.81981249917652
43,2150000,0.0,0.0,0.1,159.63808686391488
44,2200000,0.0,0.0,0.1,158.81182024543548
45,2250000,0.0,0.0,0.1,159.00781335628656
46,2300000,0.0,0.0,0.1,159.65513396995922
47,2350000,0.0,0.0,0.1,159.15581002191587
48,2400000,0.0,0.041666666666666664,0.1,159.7038469140015
49,2450000,0.0,0.0,0.1,158.68872568844063
50,2500000,0.0,0.0,0.1,158.4801234089515
51,2550000,0.0,0.0,0.1,158.794472424752
52,2600000,0.0,0.0,0.1,158.9918394447095
53,2650000,0.0,0.0,0.1,158.37971923600855
54,2700000,0.0,0.041666666666666664,0.1,158.55587808007033
55,2750000,0.0,0.0,0.1,158.39215446771385
56,2800000,0.0,0.0,0.1,158.1486564489176
57,2850000,0.0,0.0,0.1,157.8080071851672
58,2900000,0.0,0.0,0.1,158.53058762628234
59,2950000,0.0,0.0,0.1,158.4442409272038
60,3000000,0.0,0.0,0.1,158.14408305968303
61,3050000,0.0,0.0,0.1,158.0745638229489
62,3100000,0.0,0.0,0.1,157.69223304876826
63,3150000,0.0,0.0,0.1,155.71461006735575
64,3200000,0.0,0.0,0.1,156.76938897015236
65,3250000,0.0,0.08333333333333333,0.1,158.68862292594713
66,3300000,0.0,0.043478260869565216,0.1,158.5220563152541
67,3350000,0.0,0.0,0.1,158.8302634204971
68,3400000,0.0,0.043478260869565216,0.1,158.68882754673115
69,3450000,0.0,0.0,0.1,157.23871566915713
70,3500000,0.0,0.043478260869565216,0.1,158.53677411265107
71,3550000,0.0,0.2,0.1,158.47119473767188
72,3600000,0.0,0.28,0.1,158.62952103150204
73,3650000,0.0,0.24,0.1,158.99847129269983
74,3700000,0.0,0.16666666666666666,0.1,159.1957232793325
75,3750000,0.0,0.28,0.1,159.39401796573222
76,3800000,0.0,0.16,0.1,159.2517992505075
77,3850000,0.0,0.12,0.1,159.0856091327958
78,3900000,0.0,0.16,0.1,159.00108401228826
79,3950000,0.0,0.041666666666666664,0.1,158.2683321526331
80,4000000,0.0,0.2,0.1,158.88992072213787
81,4050000,0.0,0.16,0.1,157.96975149292305
82,4100000,0.0,0.2,0.1,159.1600324623151
83,4150000,0.0,0.24,0.1,158.17263688529184
84,4200000,0.0,0.16,0.1,157.80992199701575
85,4250000,0.0,0.125,0.1,157.68580443274058
86,4300000,0.0,0.041666666666666664,0.1,157.98446603288016
87,4350000,0.0,0.041666666666666664,0.1,158.1648012612495
88,4400000,0.0,0.043478260869565216,0.1,157.38540439709647
89,4450000,0.0,0.041666666666666664,0.1,157.7133360688514
90,4500000,0.0,0.0,0.1,157.52617336657224
91,4550000,0.0,0.0,0.1,157.37170524941496
92,4600000,0.0,0.0,0.1,157.5508532333228
93,4650000,0.0,0.0,0.1,157.74823941717344
94,4700000,0.0,0.041666666666666664,0.1,157.03290297872357
95,4750000,0.0,0.0,0.1,157.20912717580774
96,4800000,0.0,0.0,0.1,157.36892026378587
97,4850000,0.0,0.0,0.1,157.35067555373976
98,4900000,0.0,0.0,0.1,157.1951436931248
99,4950000,0.0,0.0,0.1,156.99814445792086
100,5000000,0.0,0.0,0.1,156.9469214993475
101,5050000,0.0,0.0,0.1,156.90066075580532
102,5100000,0.0,0.0,0.1,157.10145530250273
103,5150000,0.0,0.0,0.1,157.16091847918793
104,5200000,0.0,0.0,0.1,156.92064403264382
105,5250000,0.0,0.0,0.1,156.77591820318648
106,5300000,0.0,0.0,0.1,156.14567119749003
107,5350000,0.0,0.0,0.1,156.93737702424144
108,5400000,0.0,0.0,0.1,157.0841229882109
109,5450000,0.0,0.0,0.1,156.7659627121887
110,5500000,0.0,0.0,0.1,156.72745861616593
111,5550000,0.0,0.0,0.1,156.64471005685655
112,5600000,0.0,0.0,0.1,156.28662828219296
113,5650000,0.0,0.0,0.1,156.85275569189855
114,5700000,0.0,0.0,0.1,156.64466904048655
115,5750000,0.0,0.0,0.1,156.9698947506434
116,5800000,0.0,0.0,0.1,157.1878108692641
117,5850000,0.0,0.0,0.1,156.95159967885147
118,5900000,0.0,0.0,0.1,156.73194835515537
119,5950000,0.0,0.0,0.1,157.32056174655588
120,6000000,0.0,0.0,0.1,156.777251103999
121,6050000,0.0,0.0,0.1,157.1499846962825
122,6100000,0.0,0.0,0.1,156.8234307786484
123,6150000,0.0,0.0,0.1,155.38440210293822
124,6200000,0.0,0.0,0.1,156.508986732819
125,6250000,0.0,0.0,0.1,156.24249282391344
126,6300000,0.0,0.0,0.1,156.5497435904332
127,6350000,0.0,0.0,0.1,156.4640248918802
128,6400000,0.0,0.0,0.1,157.51566742668223
129,6450000,0.0,0.0,0.1,157.1020866164349
130,6500000,0.0,0.0,0.1,157.6385287258662
131,6550000,0.0,0.0,0.1,156.97541694242807
132,6600000,0.0,0.0,0.1,157.32463393116274
133,6650000,0.0,0.0,0.1,157.63103504238842
134,6700000,0.0,0.0,0.1,157.15942304553164
135,6750000,0.0,0.0,0.1,157.39909673908625
136,6800000,0.0,0.0,0.1,157.7868327211351
137,6850000,0.0,0.0,0.1,157.00624369043783
138,6900000,0.0,0.0,0.1,157.19578936489543
139,6950000,0.0,0.0,0.1,157.5233101393843
140,7000000,0.0,0.0,0.1,157.40737189400326
141,7050000,0.0,0.0,0.1,157.32256631063396
142,7100000,0.0,0.0,0.1,157.6965790721564
143,7150000,0.0,0.0,0.1,156.765989208461
144,7200000,0.0,0.0,0.1,157.3313528474985
145,7250000,0.0,0.0,0.1,156.35188639002135
146,7300000,0.0,0.0,0.1,157.64259664800983
147,7350000,0.0,0.0,0.1,157.95697198078062
148,7400000,0.0,0.0,0.1,157.78835900807542
149,7450000,0.0,0.0,0.1,157.9352133267482
150,7500000,0.0,0.0,0.1,157.6886514450397
151,7550000,0.0,0.0,0.1,157.7353231696589
152,7600000,0.0,0.0,0.1,157.8153970764565
153,7650000,0.0,0.0,0.1,157.55874541780693
154,7700000,0.0,0.0,0.1,157.7868077215472
155,7750000,0.0,0.0,0.1,158.36495271544334
156,7800000,0.0,0.0,0.1,157.4398410012647
157,7850000,0.0,0.0,0.1,157.9997070343843
158,7900000,0.0,0.0,0.1,158.09298100106156
159,7950000,0.0,0.0,0.1,157.986476709852
160,8000000,0.0,0.0,0.1,158.26319676291916
161,8050000,0.0,0.0,0.1,158.4288185281376
162,8100000,0.0,0.0,0.1,157.79756861688128
163,8150000,0.0,0.0,0.1,158.07241925103943
164,8200000,0.0,0.0,0.1,158.52180792660835
165,8250000,0.0,0.0,0.1,158.07212937258728
166,8300000,0.0,0.0,0.1,158.25870418649643
167,8350000,0.0,0.0,0.1,158.33734490661226
168,8400000,0.0,0.0,0.1,157.41758996197748
169,8450000,0.0,0.0,0.1,158.30387644715972
170,8500000,0.0,0.0,0.1,158.42083161572248
171,8550000,0.0,0.0,0.1,158.1425034860449
172,8600000,0.0,0.0,0.1,158.55721249459137
173,8650000,0.0,0.0,0.1,158.14168221126403
174,8700000,0.0,0.0,0.1,157.67549757133577
175,8750000,0.0,0.0,0.1,158.27845029255664
176,8800000,0.0,0.0,0.1,158.0589833917542
177,8850000,0.0,0.043478260869565216,0.1,157.53088079241007
178,8900000,0.0,0.041666666666666664,0.1,157.3328762610169
179,8950000,0.0,0.0,0.1,157.37536291685197
180,9000000,0.0,0.0,0.1,157.11570790490273
