iteration,frame,eval_episode_return,train_episode_return,train_exploration_epsilon,train_frame_rate
0,0,0.0,0.0,1.0,589.3654328757815
1,50000,0.0,0.0,0.9775004500000001,168.82610993991625
2,100000,0.0,0.0,0.95500045,170.73744273952948
3,150000,0.0,0.0,0.93250045,170.79742984206996
4,200000,0.0,0.0,0.91000045,168.7792108975526
5,250000,0.0,0.0,0.88750045,167.5921398100081
6,300000,0.0,0.0,0.8650004499999999,166.448908403573
7,350000,0.0,0.0,0.8425004500000001,165.57658616115089
8,400000,0.0,0.0,0.82000045,165.46497718053485
9,450000,0.0,0.0,0.79750045,163.65907850421672
10,500000,0.0,0.0,0.77500045,163.2834463981828
11,550000,0.0,0.0,0.75250045,162.97801272354891
12,600000,0.0,0.0,0.73000045,162.43883923698428
13,650000,0.0,0.0,0.70750045,161.60745441604132
14,700000,0.0,0.0,0.68500045,160.7948151404799
15,750000,0.0,0.0,0.66250045,159.55656687449297
16,800000,0.0,0.0,0.6400004499999999,159.34578002338392
17,850000,0.0,0.0,0.61750045,159.05853945100932
18,900000,0.0,0.043478260869565216,0.59500045,159.04275575490107
19,950000,0.0,0.0,0.5725004499999999,158.1176720055347
20,1000000,0.0,0.0,0.5500004500000001,158.4522027333952
21,1050000,0.0,0.0,0.52750045,158.7106564193785
22,1100000,0.0,0.0,0.50500045,158.75861146537767
23,1150000,0.0,0.0,0.48250045,158.815067518046
24,1200000,0.0,0.0,0.46000045,158.4185737950759
25,1250000,0.0,0.0,0.43750045,158.59644458858165
26,1300000,0.0,0.0,0.4150004500000001,157.7453498093183
27,1350000,0.0,0.0,0.39250045,157.7068140594873
28,1400000,0.0,0.0,0.37000045000000004,158.5782377759663
29,1450000,0.0,0.0,0.34750044999999996,158.6682851746452
30,1500000,0.0,0.0,0.32500045,158.24567494610264
31,1550000,0.0,0.0,0.30250045000000003,157.50708219690668
32,1600000,0.0,0.0,0.28000045,157.10129991004337
33,1650000,0.0,0.0,0.25750045,157.61249552054744
