iteration,frame,eval_episode_return,train_episode_return,train_exploration_epsilon,train_frame_rate
0,0,0.0,0.0,1.0,593.6088738158363
1,50000,0.0,0.041666666666666664,0.9775004500000001,170.6202456181643
2,100000,0.0,0.0,0.95500045,172.811701660155
3,150000,0.0,0.0,0.93250045,170.433129340113
4,200000,0.0,0.0,0.91000045,168.67733191911955
5,250000,0.0,0.0,0.88750045,168.04776613597994
6,300000,0.0,0.0,0.8650004499999999,166.8443436265859
7,350000,0.0,0.0,0.8425004500000001,166.62698052336265
8,400000,0.0,0.0,0.82000045,165.74547172676031
9,450000,0.0,0.0,0.79750045,165.07333346320345
10,500000,0.0,0.0,0.77500045,164.10319359022006
11,550000,0.0,0.0,0.75250045,163.39047659449486
12,600000,0.0,0.0,0.73000045,162.56396705670437
13,650000,0.0,0.0,0.70750045,161.85219479377204
14,700000,0.0,0.0,0.68500045,161.03308421769756
15,750000,0.0,0.0,0.66250045,160.38428016709312
16,800000,0.0,0.0,0.6400004499999999,160.42990909722988
17,850000,0.0,0.043478260869565216,0.61750045,159.70695899925119
18,900000,0.0,0.0,0.59500045,158.86766531693897
19,950000,0.0,0.0,0.5725004499999999,157.9902814529404
20,1000000,0.0,0.0,0.5500004500000001,157.65446859801017
21,1050000,0.0,0.0,0.52750045,157.62948486320477
22,1100000,0.0,0.0,0.50500045,158.39973416147072
23,1150000,0.0,0.0,0.48250045,157.8623555961682
24,1200000,0.0,0.0,0.46000045,158.05507920859574
25,1250000,0.0,0.0,0.43750045,157.40128237359195
26,1300000,0.0,0.0,0.4150004500000001,157.4536288278481
27,1350000,0.0,0.0,0.39250045,157.85095704477075
28,1400000,0.0,0.0,0.37000045000000004,158.08537729551276
29,1450000,0.0,0.0,0.34750044999999996,157.50097862452364
30,1500000,0.0,0.0,0.32500045,157.72862720703503
31,1550000,0.0,0.0,0.30250045000000003,157.99166096880907
32,1600000,0.0,0.0,0.28000045,157.05678589377638
33,1650000,0.0,0.0,0.25750045,157.71565340751093
34,1700000,0.0,0.0,0.23500044999999997,157.56938308915147
35,1750000,0.0,0.0,0.21250044999999995,157.3812835162586
36,1800000,0.0,0.0,0.19000045000000004,157.07429138788711
37,1850000,0.0,0.0,0.16750045000000002,157.1822980005585
38,1900000,0.0,0.0,0.14500045,156.80360258033457
39,1950000,0.0,0.0,0.12250044999999998,157.04219780003677
40,2000000,0.0,0.0,0.10000044999999996,157.75775297316144
41,2050000,0.0,0.0,0.1,158.2254563495646
42,2100000,0.0,0.0,0.1,157.93747277217108
43,2150000,0.0,0.0,0.1,158.44062507245755
44,2200000,0.0,0.0,0.1,157.58666379817944
45,2250000,0.0,0.0,0.1,157.83803562597407
46,2300000,0.0,0.0,0.1,158.00681669868146
47,2350000,0.0,0.0,0.1,157.64244368402407
48,2400000,0.0,0.0,0.1,157.73841158134263
49,2450000,0.0,0.0,0.1,157.57812244297625
50,2500000,0.0,0.0,0.1,157.66904365666431
51,2550000,0.0,0.0,0.1,157.3152658832186
52,2600000,0.0,0.0,0.1,157.6752300966178
53,2650000,0.0,0.0,0.1,157.89017375893323
54,2700000,0.0,0.0,0.1,157.9128864021533
55,2750000,0.0,0.0,0.1,158.14450550568222
56,2800000,0.0,0.0,0.1,158.2876715849341
57,2850000,0.0,0.0,0.1,157.63015203147228
58,2900000,0.0,0.0,0.1,158.4016372801613
59,2950000,0.0,0.0,0.1,158.3506926901262
60,3000000,0.0,0.0,0.1,158.3338654182843
61,3050000,0.0,0.0,0.1,158.4657856571303
62,3100000,0.0,0.0,0.1,158.083628586033
63,3150000,0.0,0.0,0.1,155.5471362770435
64,3200000,0.0,0.0,0.1,157.60951508155438
65,3250000,0.0,0.0,0.1,157.90728734563206
66,3300000,0.0,0.0,0.1,157.70118304773456
67,3350000,0.0,0.0,0.1,157.74674895300072
68,3400000,0.0,0.0,0.1,157.86028443926358
69,3450000,0.0,0.0,0.1,157.2451520309465
70,3500000,0.0,0.0,0.1,157.7384363259923
71,3550000,0.0,0.0,0.1,157.67942688604026
72,3600000,0.0,0.0,0.1,157.44499078086452
73,3650000,0.0,0.0,0.1,157.14115301584866
74,3700000,0.0,0.0,0.1,157.16512649494365
75,3750000,0.0,0.0,0.1,156.76604749315067
76,3800000,0.0,0.0,0.1,156.80733905109082
77,3850000,0.0,0.0,0.1,156.79285277460002
78,3900000,0.0,0.0,0.1,156.25413216425832
79,3950000,0.0,0.0,0.1,156.9787276291451
80,4000000,0.0,0.0,0.1,156.7645027042045
81,4050000,0.0,0.0,0.1,156.74427794176222
82,4100000,0.0,0.0,0.1,156.64399463137
83,4150000,0.0,0.0,0.1,156.93156335532635
84,4200000,0.0,0.0,0.1,157.07601448004098
85,4250000,0.0,0.0,0.1,157.05174197912052
86,4300000,0.0,0.0,0.1,157.3430985282412
87,4350000,0.0,0.0,0.1,157.31622896568763
88,4400000,0.0,0.0,0.1,156.64159615130936
89,4450000,0.0,0.0,0.1,157.47909363059418
90,4500000,0.0,0.0,0.1,157.4130028954142
91,4550000,0.0,0.0,0.1,157.31892489436748
92,4600000,0.0,0.0,0.1,157.384693303018
93,4650000,0.0,0.0,0.1,157.2163373021797
94,4700000,0.0,0.0,0.1,156.6791152792011
95,4750000,0.0,0.0,0.1,156.99942863377493
96,4800000,0.0,0.0,0.1,157.04600383074572
97,4850000,0.0,0.0,0.1,156.9784425807296
98,4900000,0.0,0.0,0.1,157.23756480886502
99,4950000,0.0,0.0,0.1,156.7558746640118
100,5000000,0.0,0.0,0.1,156.91465208016172
101,5050000,0.0,0.0,0.1,157.61827881597546
102,5100000,0.0,0.0,0.1,157.64399065886778
103,5150000,0.0,0.0,0.1,157.2114812625542
104,5200000,0.0,0.0,0.1,157.63932286183456
105,5250000,0.0,0.0,0.1,157.82836192318203
106,5300000,0.0,0.0,0.1,157.18625538825873
107,5350000,0.0,0.0,0.1,157.70828249967093
108,5400000,0.0,0.0,0.1,157.58766202186047
109,5450000,0.0,0.0,0.1,157.7866599139468
110,5500000,0.0,0.0,0.1,156.08137876139583
111,5550000,0.0,0.0,0.1,156.8716262767571
112,5600000,0.0,0.0,0.1,156.8205761463756
