iteration,frame,eval_episode_return,train_episode_return,train_exploration_epsilon,train_frame_rate
0,0,0.0,0.0,1.0,593.5367754540009
1,50000,0.0,0.0,0.9775004500000001,157.89193227387918
2,100000,0.0,0.0,0.95500045,158.15823112275515
3,150000,0.0,0.0,0.93250045,157.77470853054763
4,200000,0.0,0.0,0.91000045,157.9898881853566
5,250000,0.0,0.0,0.88750045,157.3238357644977
6,300000,0.0,0.0,0.8650004499999999,155.93929717143203
7,350000,0.0,0.0,0.8425004500000001,154.21949080578494
8,400000,0.0,0.0,0.82000045,154.05411326304906
9,450000,0.0,0.0,0.79750045,153.22209553356947
10,500000,0.0,0.043478260869565216,0.77500045,153.2724792487946
11,550000,0.0,0.0,0.75250045,152.0403147851215
12,600000,0.0,0.043478260869565216,0.73000045,152.30592864029484
13,650000,0.0,0.08333333333333333,0.70750045,151.44001102191396
14,700000,0.0,0.043478260869565216,0.68500045,151.13835820708488
15,750000,0.0,0.041666666666666664,0.66250045,150.34543403983798
16,800000,0.0,0.0,0.6400004499999999,149.45587692510074
17,850000,0.0,0.043478260869565216,0.61750045,149.7150825706892
18,900000,0.0,0.08333333333333333,0.59500045,149.7473771507915
19,950000,0.0,0.0,0.5725004499999999,148.69163797944515
20,1000000,0.0,0.08333333333333333,0.5500004500000001,148.57125329213665
21,1050000,0.0,0.041666666666666664,0.52750045,148.75828265055037
22,1100000,0.0,0.0,0.50500045,149.21631066398248
23,1150000,0.0,0.08333333333333333,0.48250045,149.5082343751352
24,1200000,0.0,0.0,0.46000045,149.13323536668386
25,1250000,0.0,0.043478260869565216,0.43750045,149.76974767156912
26,1300000,0.0,0.043478260869565216,0.4150004500000001,149.23169408109572
27,1350000,0.0,0.043478260869565216,0.39250045,149.54077280152234
28,1400000,0.0,0.125,0.37000045000000004,149.68530854858037
29,1450000,0.0,0.125,0.34750044999999996,149.22840030616752
30,1500000,0.0,0.08333333333333333,0.32500045,159.69250815807604
31,1550000,0.0,0.12,0.30250045000000003,157.85100443000076
