iteration,frame,eval_episode_return,train_episode_return,train_exploration_epsilon,train_frame_rate
0,0,0.0,0.0,1.0,589.5390618475788
1,50000,0.0,0.0,0.9775004500000001,156.2015159449769
2,100000,0.0,0.0,0.95500045,160.99375118843594
3,150000,0.0,0.043478260869565216,0.93250045,158.92899425838655
4,200000,0.0,0.0,0.91000045,157.14474837442685
5,250000,0.0,0.043478260869565216,0.88750045,155.98571379425442
6,300000,0.0,0.0,0.8650004499999999,154.27747751337415
7,350000,0.0,0.0,0.8425004500000001,153.57378125014782
8,400000,0.0,0.0,0.82000045,153.15180525439933
9,450000,0.0,0.0,0.79750045,152.8474346054093
10,500000,0.0,0.0,0.77500045,151.17517708367708
11,550000,0.0,0.0,0.75250045,150.21624526821765
12,600000,0.0,0.0,0.73000045,149.3740417624982
13,650000,0.0,0.0,0.70750045,148.18680168466568
14,700000,0.0,0.0,0.68500045,147.81996830579632
15,750000,0.0,0.0,0.66250045,146.51706205491013
16,800000,0.0,0.0,0.6400004499999999,147.52106180999797
17,850000,0.0,0.0,0.61750045,147.4394305791065
18,900000,0.0,0.0,0.59500045,146.8243043077963
19,950000,0.0,0.0,0.5725004499999999,146.33710289167098
20,1000000,0.0,0.0,0.5500004500000001,146.38708189650583
21,1050000,0.0,0.0,0.52750045,145.9360755771278
22,1100000,0.0,0.0,0.50500045,145.34527348660146
23,1150000,0.0,0.0,0.48250045,145.27606875456166
24,1200000,0.0,0.0,0.46000045,145.4365893039191
25,1250000,0.0,0.0,0.43750045,144.74603784816128
26,1300000,0.0,0.0,0.4150004500000001,144.61512906811288
27,1350000,0.0,0.0,0.39250045,144.26551066073839
28,1400000,0.0,0.0,0.37000045000000004,144.68248920393825
29,1450000,0.0,0.0,0.34750044999999996,143.99077599811025
30,1500000,0.0,0.0,0.32500045,144.5988720276111
31,1550000,0.0,0.0,0.30250045000000003,145.09914128201373
32,1600000,0.0,0.0,0.28000045,145.92850552297173
33,1650000,0.0,0.0,0.25750045,145.6621148120565
34,1700000,0.0,0.0,0.23500044999999997,145.7183159105995
35,1750000,0.0,0.0,0.21250044999999995,145.7463883131268
36,1800000,0.0,0.0,0.19000045000000004,145.88907842807347
37,1850000,0.0,0.0,0.16750045000000002,145.1725861843231
38,1900000,0.0,0.0,0.14500045,144.4295247240049
39,1950000,0.0,0.0,0.12250044999999998,144.64584879495388
40,2000000,0.0,0.0,0.10000044999999996,144.04633631651646
41,2050000,0.0,0.0,0.1,144.17353120896604
42,2100000,0.0,0.0,0.1,141.72620809594272
43,2150000,0.0,0.0,0.1,144.37053837588763
44,2200000,0.0,0.0,0.1,143.93783821491553
45,2250000,0.0,0.0,0.1,143.57368753658866
46,2300000,0.0,0.0,0.1,144.4357115280258
47,2350000,0.0,0.0,0.1,143.82519180467148
48,2400000,0.0,0.0,0.1,144.53263539768164
49,2450000,0.0,0.0,0.1,144.4952809638095
50,2500000,0.0,0.0,0.1,143.98927430542653
51,2550000,0.0,0.0,0.1,144.63319677942323
52,2600000,0.0,0.0,0.1,143.98460665133902
53,2650000,0.0,0.0,0.1,144.49815996684438
54,2700000,0.0,0.0,0.1,144.4388939410278
55,2750000,0.0,0.0,0.1,144.43452266645457
56,2800000,0.0,0.0,0.1,144.32469878024006
57,2850000,0.0,0.0,0.1,144.81726770338722
58,2900000,0.0,0.0,0.1,144.91283118015906
59,2950000,0.0,0.0,0.1,141.334090132113
60,3000000,0.0,0.043478260869565216,0.1,144.8402242832426
61,3050000,0.0,0.0,0.1,144.37077627175947
62,3100000,0.0,0.0,0.1,144.3389329547719
63,3150000,0.0,0.0,0.1,143.61448206387576
64,3200000,0.0,0.0,0.1,144.06219975289434
65,3250000,0.0,0.0,0.1,144.0931428769901
66,3300000,0.0,0.043478260869565216,0.1,143.86786709611033
67,3350000,0.0,0.0,0.1,144.23059912842334
68,3400000,0.0,0.0,0.1,143.46908222275127
69,3450000,0.0,0.0,0.1,143.46962960978792
70,3500000,0.0,0.043478260869565216,0.1,143.42949980539308
71,3550000,0.0,0.041666666666666664,0.1,142.7703279794778
72,3600000,0.0,0.041666666666666664,0.1,141.23409345886694
73,3650000,0.0,0.0,0.1,142.82726460208823
74,3700000,0.0,0.041666666666666664,0.1,143.08093014313027
75,3750000,0.0,0.0,0.1,143.3578844276732
76,3800000,0.0,0.0,0.1,142.80971070381253
77,3850000,0.0,0.0,0.1,143.5348246481106
78,3900000,0.0,0.0,0.1,143.55227451754385
79,3950000,0.0,0.08333333333333333,0.1,143.53117201247537
80,4000000,0.0,0.041666666666666664,0.1,143.76982841636496
81,4050000,0.0,0.08695652173913043,0.1,144.3436428694502
82,4100000,0.0,0.0,0.1,141.55738265707907
83,4150000,0.0,0.08333333333333333,0.1,145.48399668838928
84,4200000,0.0,0.0,0.1,144.1454833418056
85,4250000,0.0,0.08333333333333333,0.1,144.3759487604382
86,4300000,0.0,0.08333333333333333,0.1,144.93458107440244
87,4350000,0.0,0.08333333333333333,0.1,145.2078315214354
88,4400000,0.0,0.16,0.1,145.24360520497396
89,4450000,0.0,0.3076923076923077,0.1,145.14802615250338
90,4500000,0.0,0.16666666666666666,0.1,144.8522689321794
91,4550000,0.0,0.16666666666666666,0.1,144.9437600595814
92,4600000,0.0,0.16666666666666666,0.1,144.09276568552568
93,4650000,0.0,0.08333333333333333,0.1,144.65959138014787
94,4700000,0.0,0.08333333333333333,0.1,144.4200533275586
95,4750000,0.0,0.08333333333333333,0.1,143.02748605821526
96,4800000,0.0,0.041666666666666664,0.1,143.85012151149866
97,4850000,0.0,0.041666666666666664,0.1,142.81254199830713
98,4900000,0.0,0.0,0.1,143.7211923052783
99,4950000,0.0,0.0,0.1,143.0376238716409
100,5000000,0.0,0.041666666666666664,0.1,143.7674359956508
101,5050000,0.0,0.041666666666666664,0.1,143.126823321525
102,5100000,0.0,0.0,0.1,143.76478029610132
103,5150000,0.0,0.0,0.1,143.49603843988717
104,5200000,0.0,0.043478260869565216,0.1,143.57954199583062
105,5250000,0.0,0.0,0.1,144.32696665649596
106,5300000,0.0,0.041666666666666664,0.1,144.66009973501482
107,5350000,0.0,0.043478260869565216,0.1,142.59217162487897
108,5400000,0.0,0.08333333333333333,0.1,145.25533250949798
109,5450000,0.0,0.041666666666666664,0.1,145.104118282419
110,5500000,0.0,0.12,0.1,146.2753904978421
111,5550000,0.0,0.041666666666666664,0.1,145.86248329451865
112,5600000,0.0,0.16,0.1,147.00504048051775
113,5650000,0.0,0.125,0.1,144.78614782358184
114,5700000,0.0,0.16,0.1,146.91980996941575
115,5750000,0.0,0.24,0.1,146.5122532559367
116,5800000,0.0,0.23076923076923078,0.1,146.94297782318372
117,5850000,0.0,0.19230769230769232,0.1,147.3361768558172
118,5900000,0.0,0.041666666666666664,0.1,143.66179539367434
119,5950000,0.0,0.0,0.1,146.846101707015
120,6000000,0.0,0.08333333333333333,0.1,147.36894039879627
121,6050000,0.0,0.16,0.1,146.95847608737662
122,6100000,0.0,0.23076923076923078,0.1,146.8463980406566
123,6150000,0.0,0.2692307692307692,0.1,147.63760792165652
124,6200000,0.0,0.35714285714285715,0.1,147.22690164936662
125,6250000,0.0,0.3076923076923077,0.1,146.59300274700863
126,6300000,0.0,0.08333333333333333,0.1,146.19567310737483
127,6350000,0.0,0.19230769230769232,0.1,146.99279162434482
128,6400000,0.0,0.16,0.1,142.85341304334702
129,6450000,0.0,0.28,0.1,146.85775365284348
130,6500000,0.0,0.125,0.1,144.83061355377404
131,6550000,0.0,0.5333333333333333,0.1,145.40264967886338
132,6600000,0.0,0.2857142857142857,0.1,144.6646623411936
133,6650000,0.0,0.4074074074074074,0.1,144.1249111229898
134,6700000,0.0,0.23076923076923078,0.1,143.00798884379822
135,6750000,0.0,0.36666666666666664,0.1,143.46504877584414
136,6800000,0.0,0.38461538461538464,0.1,143.87490765308652
137,6850000,0.0,0.4827586206896552,0.1,144.0090544044389
138,6900000,0.0,0.3076923076923077,0.1,143.11850618440738
139,6950000,0.0,0.25925925925925924,0.1,143.36273981900158
140,7000000,0.0,0.2,0.1,140.27965445224334
141,7050000,0.0,0.2,0.1,144.4714124822198
142,7100000,0.0,0.41379310344827586,0.1,142.71840327838973
143,7150000,0.0,0.3793103448275862,0.1,144.0516217768238
144,7200000,0.0,0.4827586206896552,0.1,142.40299505160948
145,7250000,0.0,0.37037037037037035,0.1,143.48390102205212
146,7300000,0.0,0.5625,0.1,143.30165121210342
147,7350000,0.0,0.46875,0.1,143.96820354105097
148,7400000,0.0,0.7142857142857143,0.1,144.2100653544701
149,7450000,0.0,0.775,0.1,144.48396900854524
150,7500000,0.0,0.8108108108108109,0.1,147.028176065228
151,7550000,0.0,0.717948717948718,0.1,146.80538326054315
152,7600000,0.0,0.9824561403508771,0.1,145.76821138092194
153,7650000,0.0,1.0,0.1,157.21729482070984
154,7700000,0.0,1.0,0.1,154.1040043171309
155,7750000,0.0,1.0,0.1,153.2068214947978
156,7800000,0.0,1.0,0.1,151.6585495966646
157,7850000,0.0,1.0,0.1,154.02610151292612
158,7900000,0.0,1.0,0.1,152.8085873512298
159,7950000,0.0,1.0,0.1,153.45482220522047
160,8000000,0.0,1.0,0.1,152.962314147073
161,8050000,0.0,0.9895833333333334,0.1,152.5827390593563
162,8100000,0.0,0.9883720930232558,0.1,152.86832620879744
163,8150000,0.2,0.9891304347826086,0.1,152.61516586756667
164,8200000,0.625,0.9764705882352941,0.1,152.8988909328372
165,8250000,0.42857142857142855,0.990990990990991,0.1,154.04343909947784
166,8300000,0.5,1.0,0.1,153.00102013247619
167,8350000,1.0,1.0,0.1,152.35792866506233
168,8400000,1.0,1.0,0.1,153.21689735743286
169,8450000,1.0,1.0,0.1,152.87619040735146
170,8500000,0.9824561403508771,1.0,0.1,153.64606649945387
171,8550000,1.0,1.0,0.1,153.1486475512635
172,8600000,1.0,1.0,0.1,152.39443164989333
173,8650000,1.0,1.0,0.1,152.7195350764516
174,8700000,1.0,1.0,0.1,153.2400719231381
175,8750000,0.9583333333333334,0.989247311827957,0.1,150.73462610747237
176,8800000,1.0,1.0,0.1,153.29212458918622
177,8850000,0.9545454545454546,0.9817073170731707,0.1,153.25972363699634
178,8900000,0.9846153846153847,1.0,0.1,152.2187493159308
179,8950000,0.984375,0.9943820224719101,0.1,154.34149691462568
180,9000000,1.0,0.988950276243094,0.1,151.3952588314449
181,9050000,1.0,0.9942857142857143,0.1,153.46073949272676
182,9100000,1.0,0.9877300613496932,0.1,152.07474528600557
183,9150000,1.0,0.9726027397260274,0.1,154.13611617044066
184,9200000,1.0,1.0,0.1,154.1038265560939
185,9250000,1.0,0.9797297297297297,0.1,151.955915454435
186,9300000,1.0,0.9870967741935484,0.1,154.99466924398203
187,9350000,1.0,1.0,0.1,151.8038393304724
188,9400000,1.0,0.9936708860759493,0.1,155.1748049614309
189,9450000,1.0,0.9936708860759493,0.1,151.20011310938864
190,9500000,1.0,1.0,0.1,153.41939760307392
191,9550000,1.0,0.984375,0.1,152.6407857491529
192,9600000,0.975,1.0,0.1,151.82373123123034
193,9650000,1.0,0.9938650306748467,0.1,152.87805461655637
194,9700000,1.0,0.9940476190476191,0.1,153.00577319219394
195,9750000,1.0,0.9938271604938271,0.1,153.6776669600625
196,9800000,1.0,1.0,0.1,151.58587044599366
197,9850000,1.0,1.0,0.1,153.8656238891568
198,9900000,1.0,1.0,0.1,151.5997490347826
199,9950000,1.0,1.0,0.1,152.5759034212004
200,10000000,1.0,1.0,0.1,154.83376412627794
201,10050000,1.0,1.0,0.1,152.2717732257914
202,10100000,1.0,1.0,0.1,153.311580143043
203,10150000,1.0,1.0,0.1,152.28897702132443
204,10200000,1.0,1.0,0.1,153.36981450006581
205,10250000,1.0,1.0,0.1,153.43893187469953
206,10300000,1.0,1.0,0.1,149.2490438769739
207,10350000,1.0,0.9938271604938271,0.1,154.21671093466426
208,10400000,1.0,1.0,0.1,152.01919663302172
209,10450000,1.0,1.0,0.1,153.46648252919672
210,10500000,1.0,1.0,0.1,151.45488656971835
211,10550000,1.0,1.0,0.1,154.86882230043233
212,10600000,1.0,0.9936708860759493,0.1,151.60739655713618
213,10650000,1.0,0.9936305732484076,0.1,153.4090491050259
214,10700000,1.0,0.9928571428571429,0.1,152.94450613157744
215,10750000,1.0,0.9935897435897436,0.1,153.15682434122684
216,10800000,1.0,0.9933774834437086,0.1,152.1971455518502
217,10850000,1.0,0.9930555555555556,0.1,153.8492460019706
218,10900000,1.0,1.0,0.1,151.43578111893734
219,10950000,1.0,0.9930555555555556,0.1,154.80441695636688
220,11000000,1.0,1.0,0.1,151.70965931987448
221,11050000,1.0,1.0,0.1,152.81174157824015
222,11100000,1.0,1.0,0.1,151.77571476629572
223,11150000,1.0,1.0,0.1,152.42968372855455
224,11200000,1.0,0.9935483870967742,0.1,153.13655018560738
225,11250000,1.0,1.0,0.1,151.99495869655496
226,11300000,1.0,1.0,0.1,153.46636604494915
227,11350000,1.0,1.0,0.1,145.8614550432682
