iteration,frame,eval_episode_return,train_episode_return,train_exploration_epsilon,train_frame_rate
0,0,0.0,0.0,1.0,591.7593367759586
1,50000,0.0,0.0,0.9775004500000001,167.01094640122076
2,100000,0.0,0.0,0.95500045,171.67910033802275
3,150000,0.0,0.0,0.93250045,172.01751225074358
4,200000,0.0,0.0,0.91000045,171.2303285971133
5,250000,0.0,0.0,0.88750045,169.43010297363972
6,300000,0.0,0.0,0.8650004499999999,167.85967696358375
7,350000,0.0,0.0,0.8425004500000001,166.81487012466724
8,400000,0.0,0.0,0.82000045,165.6148175708519
9,450000,0.0,0.0,0.79750045,164.53194123442663
10,500000,0.0,0.0,0.77500045,163.3017836825985
11,550000,0.0,0.0,0.75250045,162.072439426785
12,600000,0.0,0.0,0.73000045,161.20692914559442
13,650000,0.0,0.0,0.70750045,160.85589675547703
14,700000,0.0,0.0,0.68500045,160.96690687929362
15,750000,0.0,0.0,0.66250045,160.0167865848937
16,800000,0.0,0.0,0.6400004499999999,159.091947796457
17,850000,0.0,0.0,0.61750045,159.6704970517972
18,900000,0.0,0.0,0.59500045,158.88575582941078
19,950000,0.0,0.0,0.5725004499999999,158.77472714534838
20,1000000,0.0,0.0,0.5500004500000001,156.18568544736578
21,1050000,0.0,0.0,0.52750045,155.6072383473231
22,1100000,0.0,0.0,0.50500045,155.94740849455187
23,1150000,0.0,0.0,0.48250045,156.51835202906318
24,1200000,0.0,0.0,0.46000045,156.70784103658443
25,1250000,0.0,0.0,0.43750045,156.89503583679874
26,1300000,0.0,0.0,0.4150004500000001,156.71121574606082
27,1350000,0.0,0.0,0.39250045,157.4138540302873
28,1400000,0.0,0.0,0.37000045000000004,156.4108088034712
29,1450000,0.0,0.0,0.34750044999999996,156.22105249094585
30,1500000,0.0,0.0,0.32500045,156.12080194267367
31,1550000,0.0,0.0,0.30250045000000003,155.70873345249865
32,1600000,0.0,0.0,0.28000045,155.51905728788742
33,1650000,0.0,0.0,0.25750045,155.10092135786022
34,1700000,0.0,0.0,0.23500044999999997,155.1770660058449
35,1750000,0.0,0.0,0.21250044999999995,155.01946078613227
36,1800000,0.0,0.0,0.19000045000000004,155.4702431374581
37,1850000,0.0,0.0,0.16750045000000002,155.36053242408263
38,1900000,0.0,0.0,0.14500045,155.2577414075568
39,1950000,0.0,0.0,0.12250044999999998,155.57646657730254
40,2000000,0.0,0.0,0.10000044999999996,155.82240578375763
41,2050000,0.0,0.0,0.1,155.76046315401848
42,2100000,0.0,0.0,0.1,156.71312120309298
43,2150000,0.0,0.0,0.1,157.5189314987317
44,2200000,0.0,0.0,0.1,157.7710255500725
45,2250000,0.0,0.0,0.1,157.3725044639769
46,2300000,0.0,0.0,0.1,157.50062470124837
