iteration,frame,eval_episode_return,train_episode_return,train_exploration_epsilon,train_frame_rate
0,0,0.0,0.0,1.0,594.994939348778
1,50000,0.0,0.0,0.9775004500000001,161.76521634158087
2,100000,0.0,0.0,0.95500045,165.90153523977202
3,150000,0.0,0.0,0.93250045,165.78972549552287
4,200000,0.0,0.0,0.91000045,163.4613817967147
5,250000,0.0,0.0,0.88750045,162.69284664723855
6,300000,0.0,0.0,0.8650004499999999,161.6569927006791
7,350000,0.0,0.0,0.8425004500000001,160.61412848347635
8,400000,0.0,0.0,0.82000045,158.45576276709517
9,450000,0.0,0.0,0.79750045,157.4956482289854
10,500000,0.0,0.0,0.77500045,156.77300988175696
11,550000,0.0,0.0,0.75250045,155.399311484746
12,600000,0.0,0.0,0.73000045,154.02588171173304
13,650000,0.0,0.0,0.70750045,153.30264661278528
14,700000,0.0,0.0,0.68500045,152.94147219236848
15,750000,0.0,0.0,0.66250045,152.6449772359254
16,800000,0.0,0.0,0.6400004499999999,151.86326916463628
17,850000,0.0,0.0,0.61750045,156.5210880387694
18,900000,0.0,0.0,0.59500045,158.60880592237038
19,950000,0.0,0.0,0.5725004499999999,155.79879542927512
20,1000000,0.0,0.0,0.5500004500000001,156.57871567565863
21,1050000,0.0,0.0,0.52750045,156.6563170109733
22,1100000,0.0,0.0,0.50500045,157.38560398538633
23,1150000,0.0,0.0,0.48250045,155.1619871909283
24,1200000,0.0,0.0,0.46000045,157.04231590697015
25,1250000,0.0,0.041666666666666664,0.43750045,157.21015987379644
26,1300000,0.0,0.0,0.4150004500000001,157.64165654087546
27,1350000,0.0,0.041666666666666664,0.39250045,156.8740951202455
28,1400000,0.0,0.0,0.37000045000000004,159.96698756144096
29,1450000,0.0,0.0,0.34750044999999996,157.55150143105215
30,1500000,0.0,0.0,0.32500045,157.1219611443954
31,1550000,0.0,0.0,0.30250045000000003,158.62467300959753
32,1600000,0.0,0.0,0.28000045,158.64143867454914
33,1650000,0.0,0.0,0.25750045,161.33258407856331
34,1700000,0.0,0.0,0.23500044999999997,158.93012035540363
35,1750000,0.0,0.0,0.21250044999999995,163.10833496361371
36,1800000,0.0,0.0,0.19000045000000004,163.02279940220026
37,1850000,0.0,0.0,0.16750045000000002,163.8082694948622
38,1900000,0.0,0.0,0.14500045,168.29428379716128
39,1950000,0.0,0.0,0.12250044999999998,165.91716448078412
40,2000000,0.0,0.0,0.10000044999999996,164.9292019782909
41,2050000,0.0,0.0,0.1,165.33948392389593
42,2100000,0.0,0.0,0.1,165.23256165120532
43,2150000,0.0,0.0,0.1,165.3590364962517
44,2200000,0.0,0.0,0.1,166.56089166702597
45,2250000,0.0,0.0,0.1,169.47274076681646
46,2300000,0.0,0.0,0.1,168.85541377795704
47,2350000,0.0,0.0,0.1,169.6404200159147
48,2400000,0.0,0.0,0.1,167.32008021617642
49,2450000,0.0,0.0,0.1,167.76768199798377
50,2500000,0.0,0.0,0.1,166.52561035777205
51,2550000,0.0,0.0,0.1,167.5361571002116
52,2600000,0.0,0.0,0.1,164.7568763565746
53,2650000,0.0,0.0,0.1,168.0429250702534
54,2700000,0.0,0.0,0.1,167.43171227786706
55,2750000,0.0,0.0,0.1,167.6442959593056
56,2800000,0.0,0.0,0.1,168.08320659647526
57,2850000,0.0,0.0,0.1,168.24397705963318
58,2900000,0.0,0.0,0.1,168.13652079698937
59,2950000,0.0,0.0,0.1,167.78490672003446
60,3000000,0.0,0.0,0.1,168.4563827505437
61,3050000,0.0,0.0,0.1,168.39645694841755
62,3100000,0.0,0.0,0.1,169.670061897414
63,3150000,0.0,0.0,0.1,167.76070565813043
64,3200000,0.0,0.0,0.1,166.61021836849426
65,3250000,0.0,0.0,0.1,170.00708518525352
66,3300000,0.0,0.0,0.1,169.26653523816515
67,3350000,0.0,0.0,0.1,170.63824645491752
68,3400000,0.0,0.0,0.1,169.09109804735692
69,3450000,0.0,0.0,0.1,169.39032327218308
70,3500000,0.0,0.0,0.1,167.55780989976188
71,3550000,0.0,0.0,0.1,168.0314359792408
72,3600000,0.0,0.0,0.1,167.56637856457488
73,3650000,0.0,0.0,0.1,167.29778961811698
74,3700000,0.0,0.0,0.1,167.95590042954308
75,3750000,0.0,0.0,0.1,164.82141561739786
76,3800000,0.0,0.0,0.1,168.96506617953165
77,3850000,0.0,0.0,0.1,167.58124207495248
78,3900000,0.0,0.0,0.1,164.70509460411017
79,3950000,0.0,0.0,0.1,169.55235298853913
80,4000000,0.0,0.0,0.1,167.84233541386047
81,4050000,0.0,0.0,0.1,169.37398418138363
82,4100000,0.0,0.0,0.1,168.01268334835905
83,4150000,0.0,0.0,0.1,168.82147322001552
84,4200000,0.0,0.0,0.1,167.62163648021362
85,4250000,0.0,0.0,0.1,167.37683173010305
86,4300000,0.0,0.0,0.1,168.2524486447064
87,4350000,0.0,0.0,0.1,167.26679012235564
88,4400000,0.0,0.0,0.1,168.14521843598965
89,4450000,0.0,0.0,0.1,167.1877099506406
90,4500000,0.0,0.0,0.1,166.54978362028982
91,4550000,0.0,0.0,0.1,166.4123970584556
92,4600000,0.0,0.0,0.1,166.891038436809
93,4650000,0.0,0.0,0.1,165.81532954770552
94,4700000,0.0,0.0,0.1,166.85603261363514
95,4750000,0.0,0.0,0.1,166.9905029701799
96,4800000,0.0,0.0,0.1,167.03230400895373
