iteration,frame,eval_episode_return,train_episode_return,train_exploration_epsilon,train_frame_rate
0,0,0.0,0.0,1.0,593.6300256379802
1,50000,0.0,0.0,0.9775004500000001,164.62510562322794
2,100000,0.0,0.0,0.95500045,170.8683334163202
3,150000,0.0,0.0,0.93250045,171.6704702450709
4,200000,0.0,0.0,0.91000045,170.28692131978516
5,250000,0.0,0.0,0.88750045,166.9575255843813
6,300000,0.0,0.0,0.8650004499999999,164.77740694896312
7,350000,0.0,0.0,0.8425004500000001,165.80483608974552
8,400000,0.0,0.0,0.82000045,164.7831865604238
9,450000,0.0,0.0,0.79750045,164.77631924957493
10,500000,0.0,0.0,0.77500045,165.02045960228966
11,550000,0.0,0.0,0.75250045,164.099485781378
12,600000,0.0,0.0,0.73000045,163.32196845541822
13,650000,0.0,0.0,0.70750045,162.45664865062344
14,700000,0.0,0.0,0.68500045,162.03055586591327
15,750000,0.0,0.0,0.66250045,161.11158396281866
16,800000,0.0,0.0,0.6400004499999999,160.25229861971232
17,850000,0.0,0.0,0.61750045,159.8383472512504
18,900000,0.0,0.0,0.59500045,159.39177251169627
19,950000,0.0,0.0,0.5725004499999999,158.86406022606178
20,1000000,0.0,0.0,0.5500004500000001,158.77028703136716
21,1050000,0.0,0.0,0.52750045,158.71763412301624
22,1100000,0.0,0.0,0.50500045,157.9539786395134
23,1150000,0.0,0.0,0.48250045,158.3475414862261
24,1200000,0.0,0.0,0.46000045,158.6186975653513
25,1250000,0.0,0.0,0.43750045,158.4647272394681
26,1300000,0.0,0.0,0.4150004500000001,158.32985652112978
27,1350000,0.0,0.0,0.39250045,158.59242811350967
28,1400000,0.0,0.0,0.37000045000000004,158.30312102023365
29,1450000,0.0,0.0,0.34750044999999996,158.0826874457867
30,1500000,0.0,0.0,0.32500045,158.25570659099935
31,1550000,0.0,0.0,0.30250045000000003,158.15953110427765
32,1600000,0.0,0.0,0.28000045,157.38351922859312
33,1650000,0.0,0.0,0.25750045,157.43417235679098
34,1700000,0.0,0.0,0.23500044999999997,158.11456744935927
35,1750000,0.0,0.0,0.21250044999999995,157.02533434954074
36,1800000,0.0,0.0,0.19000045000000004,157.09648257311062
37,1850000,0.0,0.0,0.16750045000000002,157.4987488900418
38,1900000,0.0,0.0,0.14500045,157.61744603604586
39,1950000,0.0,0.0,0.12250044999999998,157.7786336636513
40,2000000,0.0,0.0,0.10000044999999996,157.29550424304838
41,2050000,0.0,0.0,0.1,157.57915968506506
42,2100000,0.0,0.0,0.1,157.77588195108424
43,2150000,0.0,0.0,0.1,158.40333570591608
44,2200000,0.0,0.0,0.1,158.87229779030835
45,2250000,0.0,0.0,0.1,157.59702188899755
46,2300000,0.0,0.0,0.1,158.03595147401063
47,2350000,0.0,0.0,0.1,157.65435381569947
48,2400000,0.0,0.0,0.1,157.2736596315936
49,2450000,0.0,0.0,0.1,157.80843211114873
50,2500000,0.0,0.0,0.1,157.96811537098665
51,2550000,0.0,0.0,0.1,158.41280263364607
52,2600000,0.0,0.0,0.1,158.93933609890848
53,2650000,0.0,0.0,0.1,159.5363080601363
54,2700000,0.0,0.0,0.1,159.21085458967275
55,2750000,0.0,0.0,0.1,159.62158135774564
56,2800000,0.0,0.0,0.1,158.86980320826595
57,2850000,0.0,0.0,0.1,159.55160333878896
58,2900000,0.0,0.0,0.1,159.90033595035234
59,2950000,0.0,0.0,0.1,159.88923783535694
60,3000000,0.0,0.0,0.1,159.4712985163646
61,3050000,0.0,0.0,0.1,158.8313483932591
62,3100000,0.0,0.0,0.1,159.78111913864728
63,3150000,0.0,0.0,0.1,159.28451773022732
64,3200000,0.0,0.0,0.1,158.22950402535437
65,3250000,0.0,0.0,0.1,158.80884709626605
66,3300000,0.0,0.0,0.1,158.3488263189048
67,3350000,0.0,0.0,0.1,157.201608435556
68,3400000,0.0,0.0,0.1,158.36925756908428
69,3450000,0.0,0.0,0.1,157.93029929447687
70,3500000,0.0,0.0,0.1,157.72011740598933
71,3550000,0.0,0.0,0.1,159.1428014701146
72,3600000,0.0,0.0,0.1,159.71295910764903
73,3650000,0.0,0.0,0.1,159.6559121814531
74,3700000,0.0,0.0,0.1,158.92987234664363
75,3750000,0.0,0.0,0.1,159.0719100391164
76,3800000,0.0,0.0,0.1,159.48598014306518
77,3850000,0.0,0.0,0.1,159.56453678227555
78,3900000,0.0,0.0,0.1,159.67909409664267
79,3950000,0.0,0.0,0.1,159.61314553752567
80,4000000,0.0,0.0,0.1,159.38810770428765
81,4050000,0.0,0.0,0.1,159.8814977445649
82,4100000,0.0,0.0,0.1,159.0198226995336
83,4150000,0.0,0.0,0.1,159.97651933603527
84,4200000,0.0,0.0,0.1,160.0477487620211
85,4250000,0.0,0.0,0.1,159.88910559725048
86,4300000,0.0,0.0,0.1,159.99464216293018
87,4350000,0.0,0.0,0.1,159.71750179782185
88,4400000,0.0,0.0,0.1,159.77286933228407
89,4450000,0.0,0.0,0.1,159.6438729573224
90,4500000,0.0,0.0,0.1,159.58122641704003
91,4550000,0.0,0.0,0.1,159.8695419551963
92,4600000,0.0,0.0,0.1,159.6229849464357
93,4650000,0.0,0.0,0.1,159.34855043550124
94,4700000,0.0,0.0,0.1,159.41153597465004
95,4750000,0.0,0.0,0.1,159.77248755114897
96,4800000,0.0,0.0,0.1,159.7813620229411
97,4850000,0.0,0.0,0.1,159.82195696649987
98,4900000,0.0,0.0,0.1,159.95346201640234
99,4950000,0.0,0.0,0.1,159.88514109413714
100,5000000,0.0,0.0,0.1,159.53297450277202
101,5050000,0.0,0.0,0.1,160.5722119124634
102,5100000,0.0,0.0,0.1,160.259045176084
103,5150000,0.0,0.0,0.1,160.34504874144125
104,5200000,0.0,0.0,0.1,159.86958864954372
105,5250000,0.0,0.0,0.1,160.11127945909416
106,5300000,0.0,0.0,0.1,159.84710385186318
107,5350000,0.0,0.0,0.1,159.25710152746984
